title,overview,rating,genre
prey for the devil,"in response to a global rise in demonic possessions, the catholic church reopens exorcism schools to train priests in the rite of exorcism. on this spiritual battlefield, an unlikely warrior rises: a young nun, sister ann. thrust onto the spiritual frontline with fellow student father dante, sister ann finds herself in a battle for the soul of a young girl and soon realizes the devil has her right where he wants her.",7.1,horror
the exorcism of god,"an american priest working in mexico is considered a saint by many local parishioners. however, due to a botched exorcism, he carries a secret that’s eating him alive until he gets an opportunity to face his demon one final time.",7.1,horror
mexzombies,"a group of teenagers must face a zombie apocalypse, and help reestablish order.",7.1,horror
poltergeist,"steve freeling lives with his wife, diane, and their three children, dana, robbie, and carol anne, in southern california where he sells houses for the company that built the neighborhood. it starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. however, when he realizes that something truly evil haunts his home, steve calls in a team of parapsychologists led by dr. lesh to help before it's too late.",7.1,horror
the medium,a horrifying story of a shaman’s inheritance in the isan region of thailand. but the goddess that appears to have taken possession of a family member turns out not to be as benevolent as it first appears.,7.1,horror
the return of the living dead,"when foreman frank shows new employee freddy a secret military experiment in a supply warehouse in louisville, kentucky, the two klutzes accidentally release a gas that reanimates corpses into flesh-eating zombies. as the epidemic spreads throughout the town, and the creatures satisfy their hunger in gory and outlandish ways, frank and freddy fight to survive with the help of their boss and a mysterious mortician.",7.1,horror
i see you,"when a 12-year-old boy goes missing, lead investigator greg harper struggles to balance the pressure of the investigation and troubles with his wife, jackie. facing a recent affair, great strain is put on the family that slowly gnaws away at jackie's grip on reality. but after a malicious presence manifests itself in their home and puts their son, connor, in mortal danger, the cold, hard truth about evil in the harper household is finally uncovered.",7.1,horror
the angry black girl and her monster,"vicaria is a brilliant teenager who believes death is a disease that can be cured. after the brutal and sudden murder of her brother, she embarks on a dangerous journey to bring him back to life.",7.1,horror
the wolf man,"after his brother's death, larry talbot returns home to his father and the family estate. events soon take a turn for the worse when larry is bitten by a werewolf.",7.1,horror
climax,"when a dance troupe is lured to an empty school, a bowl of drug-laced sangria causes their jubilant rehearsal to descend into a dark and explosive nightmare as they try to survive the night—and find who's responsible—before it's too late.",7.1,horror
angel heart,"new york private detective harry angel is hired by the mysterious louis cyphre to find a missing person. his routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul.",7.1,horror
